1,titre,annee_production,genre,age_limite
2,The Shawshank Redemption,1994,Drame,18
3,The Godfather,1972,Crime,16
4,The Dark Knight,2008,Action,12
5,Pulp Fiction,1994,Crime,18
6,Forrest Gump,1994,Drame,6
7,Inception,2010,Action,12
8,The Matrix,1999,Action,16
9,Goodfellas,1990,Crime,18
10,The Lord of the Rings: The Return of the King,2003,Aventure,12
11,Fight Club,1999,Drame,18
12,Star Wars: Episode IV - A New Hope,1977,Aventure,6
13,The Lord of the Rings: The Fellowship of the Ring,2001,Aventure,12
14,Interstellar,2014,Aventure,12
15,Spirited Away,2001,Animation,6
16,Parasite,2019,Comédie,16
17,The Lion King,1994,Animation,3
18,Gladiator,2000,Action,12
19,Titanic,1997,Drame,12
20,The Avengers,2012,Action,12
21,Saving Private Ryan,1998,Drame,16
22,Jurassic Park,1993,Aventure,12
23,Terminator 2: Judgment Day,1991,Action,12
24,The Silence of the Lambs,1991,Crime,18
25,Casablanca,1942,Drame,6
26,Avatar,2009,Action,12
27,Raiders of the Lost Ark,1981,Action,12
28,Halloween,1979,Horreur,19
